Field API Name,Label,Type,Value
"AccountNumber","Account Number","string (40)",""
"AccountSource","Account Source","picklist (255)",""
"AnnualRevenue","Annual Revenue","currency (18, 0)","100000000"
"BillingAddress","Billing Address","address","[object Object]"
"BillingCity","Billing City","string (40)","New York"
"BillingCountry","Billing Country","string (80)","USA"
"BillingGeocodeAccuracy","Billing Geocode Accuracy","picklist (40), restricted",""
"BillingLatitude","Billing Latitude","double (3, 15)",""
"BillingLongitude","Billing Longitude","double (3, 15)",""
"BillingPostalCode","Billing Zip/Postal Code","string (20)","31349"
"BillingState","Billing State/Province","string (80)","NY"
"BillingStreet","Billing Street","textarea (255)","10 Main Rd."
"ChannelProgramLevelName","Channel Program Level Name","string (255)",""
"ChannelProgramName","Channel Program Name","string (255)",""
"CompareName","Compare Name","string (80)",""
"CompareSite","Compare Site","string (80)",""
"ConnectionReceivedDate","Received Connection Date","datetime",""
"ConnectionSentDate","Sent Connection Date","datetime",""
"CreatedById","Created By ID","[User]","005ao000008VXmHAAW"
"CreatedDate","Created Date","datetime, required","2025-11-04T00:40:24.000+0000"
"Description","Account Description","textarea (32000)",""
"Fax","Account Fax","phone (40)","(212) 555-5555"
"FirstName","First Name","string (40)",""
"Id","Account ID","id (18), required","001ao00001wn96hAAA"
"Industry","Industry","picklist (255)","Manufacturing"
"IsCustomerPortal","Customer Portal Account","boolean, required","false"
"IsDeleted","Deleted","boolean, required","false"
"IsPartner","Partner Account","boolean, required","false"
"IsPersonAccount","Is Person Account","boolean, required","false"
"Jigsaw","Data.com Key","string (20)",""
"JigsawCompanyId","Jigsaw Company ID","string (20)",""
"LastActivityDate","Last Activity","date",""
"LastModifiedById","Last Modified By ID","[User]","005ao000008VXmHAAW"
"LastModifiedDate","Last Modified Date","datetime, required","2025-11-04T00:40:24.000+0000"
"LastName","Last Name","string (80)",""
"LastReferencedDate","Last Referenced Date","datetime","2025-11-13T00:40:30.000+0000"
"LastViewedDate","Last Viewed Date","datetime","2025-11-13T00:40:30.000+0000"
"MasterRecordId","Master Record ID","[Account]",""
"Name","Account Name","string (255)","Acme"
"NumberOfEmployees","Employees","int","680"
"OperatingHoursId","Operating Hour ID","[OperatingHours]",""
"OwnerAlias","Owner Alias","string (30)",""
"OwnerId","Owner ID","[User]","005ao000008VXmHAAW"
"Ownership","Ownership","picklist (255)",""
"ParentId","Parent Account ID","[Account]",""
"PersonAssistantName","Assistant","string (40)",""
"PersonAssistantPhone","Asst. Phone","phone (40)",""
"PersonBirthdate","Birthdate","date",""
"PersonContactId","Contact ID","[Contact]",""
"PersonDepartment","Department","string (80)",""
"PersonDoNotCall","Do Not Call","boolean, required",""
"PersonEmail","Email","email (80)",""
"PersonEmailBouncedDate","Email Bounced Date","datetime",""
"PersonEmailBouncedReason","Email Bounced Reason","string (255)",""
"PersonGender","Gender","picklist (255)",""
"PersonGenderIdentity","Gender Identity","picklist (255)",""
"PersonHasOptedOutOfEmail","Email Opt Out","boolean, required",""
"PersonHasOptedOutOfFax","Fax Opt Out","boolean, required",""
"PersonHomePhone","Home Phone","phone (40)",""
"PersonIndividualId","Individual ID","[Individual]",""
"PersonLastCURequestDate","Last Stay-in-Touch Request Date","datetime",""
"PersonLastCUUpdateDate","Last Stay-in-Touch Save Date","datetime",""
"PersonLeadSource","Lead Source","picklist (255)",""
"PersonMailingAddress","Mailing Address","address",""
"PersonMailingCity","Mailing City","string (40)",""
"PersonMailingCountry","Mailing Country","string (80)",""
"PersonMailingGeocodeAccuracy","Mailing Geocode Accuracy","picklist (40), restricted",""
"PersonMailingLatitude","Mailing Latitude","double (3, 15)",""
